mass,bin,nevt_ASYM,nevtup_ASYM,nevtdown_ASYM,nevtupup_ASYM,nevtdowndown_ASYM,nevtobs_ASYM,nevtobs_TOY,nevtobserr_TOY
0.214,Lxy0.2_11.0_pt0_Inf_012isomu,1.92,3.7056,0.9984,5.8368,0.5568,1.92,2.5295424,1.87499904
0.214,Lxy0.2_11.0_pt25_Inf_2isomu,1.92,3.7119999999999997,0.9984,5.8368,0.5632,1.92,3.7500032,1.24999936
0.214,Lxy0.2_11.0_pt25_Inf_012isomu,1.92,3.7056,0.9984,5.8368,0.5568,1.92,3.1442879999999995,1.87499904
0.214,Lxy1.0_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,3.00412,0.05302180000000001
0.214,Lxy1.0_11.0_pt0_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,3.0040425,0.060229575
0.214,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.8413,0.049694
0.214,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,3.005865,0.081009675
0.214,Lxy2.4_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.91598,0.045860000000000005
0.214,Lxy2.4_11.0_pt0_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.8954500000000003,0.05550525
0.214,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.9291400000000003,0.034132
0.214,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.93398125,0.0406764375
0.214,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9271168,0.038516928
0.214,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.0530112000000003,0.03424224
0.214,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.0493824000000003,0.047335104
0.214,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9764416000000002,0.058273344000000005
0.214,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.821344,0.05174976
0.214,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9249472,0.06240096
0.21600000000000003,Lxy3.1_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8598208,0.04612992
0.21600000000000003,Lxy3.1_11.0_pt0_Inf_012isomu,2.9434755,5.0435940000000015,1.7815695,8.2027845,1.1728395,2.2658940000000003,3.04716645,0.050388955500000006
0.21600000000000003,Lxy0.2_11.0_pt0_Inf_2isomu,1.9306,3.7233,1.0047,5.8312,0.5516,1.9109,3.1336002,1.92382714
0.21600000000000003,Lxy0.2_11.0_pt0_Inf_012isomu,2.92545,5.0235,1.773,8.2149,1.182,2.2458,3.97527285,2.88574071
