mass,ctau = 0.1,ctau = 0.2,ctau = 0.5,ctau = 0.8,ctau = 1,ctau = 2,ctau = 5,ctau = 8,ctau = 10,ctau = 20,ctau = 50,ctau = 80,ctau = 100,ctau = 200,ctau = 500,ctau = 800,ctau = 1000,what
0.61,245.96019331539685,101.03600423506168,43.35632387777134,37.28660740343256,36.368870696870616,43.20608186554895,30.654575714275204,116.82253678017412,145.36998734892495,345.1686284947516,850.2574388720503,1355.1506516658726,1709.3372507035547,5291.354961781433,13204.45732869004,21051.72633207751,26309.38476209384,xsecBRbrUL
0.61,76.6434306798907,56.60089023824503,36.73796383569671,30.231,28.21497122880588,24.78590989959712,21.503961650944483,23.90675638197932,24.374696845660342,29.647704259226106,30.11380793655601,30.228912111511498,30.578582048284307,47.77204795936448,47.95189641468358,47.88703170680785,47.839969612173405,nevtUL
0.61,154.2318543402169,106.6857931124434,64.26893673461788,53.136,50.030948982753394,43.36184237336926,38.474931385792814,42.01157188771971,42.833467269210885,54.93659901843647,55.80308487336901,56.01557190737022,56.66410711684033,96.13757474266883,96.49959873511904,96.36906337051222,96.27435443119141,nevtULup
0.61,37.92571828147715,30.311941218382767,21.671978666427652,18.0,16.86598280152543,15.01194542938562,12.923976952046427,14.495852282309455,14.777816204519734,17.447237475630786,17.722121455241847,17.790005728653966,17.996222882756825,24.686321181661807,24.652592100306233,24.747812277550484,24.72349078920825,nevtULdown
0.61,232.43227345453943,171.60266722414025,111.34789039079857,91.63799999999999,85.50891280538585,74.11473058212864,65.18088375977547,72.45526165611301,73.87408120915521,89.87607200307741,91.29232301435856,91.64357528706199,92.70454281004132,144.88076986848043,145.4275389954062,145.23081862479881,145.08808965859762,nevtULupup
0.61,20.951844366226585,17.468966123777005,13.778986436171405,11.808000000000002,11.132988647538397,10.070963390577043,8.735984420696195,9.89989911664346,10.091874484775555,11.69648880974629,11.881740535581072,11.925992712380404,12.063468072407991,15.301562607137384,15.359217570387536,15.33844109989537,15.323366890013087,nevtULdowndown
0.61,96.24528507406662,60.69588229714175,35.900964659626204,29.079,27.07197239433751,23.39991493789125,20.639963191754738,22.565770047088517,23.03671348650164,28.084772566515714,28.475981546142663,28.594187255312477,28.83894716961781,55.91889363344859,55.92491715346371,55.935975847337744,55.875029443388854,nevtULobs
0.61,0.005059795339614465,0.002078472522203171,0.0008919090627736557,0.000767045267882021,0.0007481659531105418,0.0008888183438121431,0.0006306137478842149,0.002403226795338766,0.002990493602209493,0.0071006718375738595,0.017491158096304936,0.027877620599289304,0.035163806542665606,0.10885165121632548,0.27163684803325283,0.4330677470613983,0.5412262066189921,BRbrUL
0.61,0.010181976601100644,0.003917667876959197,0.001560294614715011,0.0013482093663517273,0.0013266521637452955,0.0015549479958195016,0.0011282953845724126,0.004223213457387888,0.005255171403365801,0.01315740193883336,0.032412393073569155,0.05165852001307082,0.06516082719019503,0.2190555816986086,0.5466488042557299,0.8715163933276678,1.0891771894066395,BRbrULup
0.61,0.0025037549977848,0.0011131015192845095,0.0005261433177753462,0.00045671048995654716,0.00044722902587851845,0.0005383257071454811,0.00037900167771835904,0.0014571956174020473,0.0018130672596287953,0.004178640838543921,0.01029363104223225,0.016406248042705383,0.02069473656262811,0.0562493537092268,0.13965146145765509,0.22380755135034924,0.2797033786329544,BRbrULdown
0.61,0.015344560173894219,0.006301516231650162,0.0027032579433208404,0.002325113104368782,0.0022674082043072593,0.0026577411261049385,0.001911459947025716,0.007283565511484738,0.00906349599438877,0.021525460715745504,0.053025789969413734,0.08451527507145129,0.10660548627961827,0.3301200535319556,0.8238147239959533,1.3133990807950362,1.6414198635180013,BRbrULupup
0.61,0.0013831850106414366,0.0006414875442194871,0.00033452052305400954,0.000299602081411495,0.0002952093409881149,0.00036114296540515193,0.00025618683507796234,0.0009951874042687823,0.00123815636650249,0.002801327480997721,0.0069013325250985025,0.01099835478297026,0.013872371742481713,0.03486558410461423,0.08700655784281887,0.13871363276879206,0.17335729520201235,BRbrULdowndown
0.61,0.006353857604724881,0.0022288469851706448,0.0008715887436070829,0.0007378157965248019,0.000717857475903193,0.0008391168096991913,0.0006052765883710098,0.0022684241378514484,0.002826338507245132,0.006726347237009661,0.0165398509620702,0.02637004933250893,0.03316331534161155,0.12741475750356182,0.3168022405352853,0.5058586046468929,0.6321289598535756,BRbrULobs
0.61,-0.011101,-0.0195135,-0.0923172,-0.114727,-0.116745,0.00467682,-0.0639382,-0.178154,-0.188814,-0.182085,-0.170801,-0.166642,-0.26254299999999997,0.23205100000000004,0.23241900000000001,0.23257199999999997,0.232706,Significance
0.61,0.0,0.00243245,0.0,0.00243264,0.0,0.0,0.00238754,0.0,0.0,0.0,0.000171012,0.00350035,0.0,0.23205100000000004,0.23241900000000001,0.232579,0.232706,posSignificance
0.615,236.70852811617814,98.66902154116902,41.96821883410507,35.928667509981864,35.0277189492478,41.37923294936757,30.29504810335579,111.45727627591978,138.7060725699607,327.51211717187323,807.056412739434,1286.4325792435652,1616.380124752663,5000.28739744101,12417.68227060361,19807.87950742945,24770.700433681377,xsecBRbrUL
0.615,78.04740327986788,58.00488900669717,37.088964993681685,30.410999999999994,28.386000000000006,24.78591370949487,21.680962100893712,23.789767571294608,24.257710743412467,29.413770544558698,29.87997013875245,29.995170149079264,30.227931126056514,47.06989245397843,47.01702411092133,46.96423966008439,46.91990829748492,nevtUL
0.615,157.06679912825808,111.18578724417952,65.17793848198077,53.685,50.336999999999996,43.361849038615205,38.78993219379489,41.80459156443763,42.62949167250694,54.26773168292369,55.368385585894266,55.58105028624389,56.01375409596202,94.72729677963615,94.62090020717928,94.51467246627949,94.4254564106934,nevtULup
0.615,38.85270294732353,30.9059408609772,21.878979349585094,18.108,16.974,15.011947736905393,13.031977219632251,14.471858608313394,14.70882460734001,17.309276495880027,17.584216941408187,17.65215763273315,17.789428409271792,24.32478999325193,24.297468678604513,24.27019071779818,24.24728114590143,nevtULdown
0.615,236.6981902975698,175.8866634379958,112.40989390222867,92.16899999999998,86.04899999999998,74.11474197446995,65.71188513324697,72.10129556223136,73.5201233228802,89.16527301335219,90.58181490612469,90.93335782394871,91.64060127946064,142.7563922894175,142.5960500084461,142.43596216083034,142.30151134609432,nevtULupup
0.615,21.03283919108063,17.67596617674992,13.904986875816116,11.88,11.196,10.070964938607393,8.807984603324194,9.755904683713752,10.043880233606842,11.603514988919228,11.788804602479384,11.833094623811775,11.92560569132771,15.077473033401995,15.060538195117767,15.043630229269853,15.02942996474235,nevtULdowndown
0.615,89.49531575357544,61.16388296191062,36.87296519755251,29.816999999999997,27.765,23.498918190083923,20.88296349582415,22.367781464258844,22.691729416667307,27.622845402783927,27.933167546638174,28.02448747028476,28.22733278699323,52.15366864973386,52.1459906970519,52.153245315707295,52.0801121839879,nevtULobs
0.615,0.00486947376022518,0.002029779894985446,0.0008633535175199098,0.0007391102681093232,0.0007205763124013395,0.0008512371339924661,0.0006232176887672014,0.002292854788676563,0.0028534061959601628,0.006737449104248104,0.016602443757021274,0.026463979725524736,0.03325152949356135,0.10286392496798054,0.2554516242432964,0.4074798245536364,0.5095730041674237,BRbrUL
0.615,0.00979959133572992,0.0038907526489759827,0.0015172060601502512,0.001304762577470291,0.0012778006706596994,0.0014892013477035954,0.0011150137976698369,0.004029121245927856,0.005014457339178075,0.012430438989887624,0.030764773302589976,0.04903775443139734,0.06161662168012089,0.20701176570324914,0.5140917168271447,0.820045686527671,1.0255063413168772,BRbrULup
0.615,0.0024240680607578533,0.001081499481672618,0.0005092968699565399,0.0004400976204308844,0.00043088361610302034,0.0005155641029409708,0.00037460324339348586,0.0013947959017119468,0.0017301818672758695,0.003964822165375987,0.009770457313890044,0.015574052068471306,0.01956884515045767,0.05315804312011477,0.13201234991621666,0.21057751870679228,0.2633372558631244,BRbrULdown
0.615,0.01476789205418845,0.006154846933700633,0.0026166671763707045,0.0022400793890818525,0.002184346900085354,0.002545365939879433,0.001888883389339529,0.006949113744142813,0.008648086278060317,0.0204239877333571,0.05033068910056937,0.08022820093590079,0.1008071026609228,0.3119718796790469,0.7747490036672605,1.235829245645223,1.545463562597819,BRbrULupup
0.615,0.0013122647806326387,0.0006185395987201576,0.0003236790062043825,0.0002887320372608188,0.00028420955378163166,0.0003458730402823419,0.0002531848808939398,0.0009402728591142725,0.0011814499065142994,0.002657873853669725,0.006550306592219017,0.01044004000171951,0.013118483951815831,0.032949470966626884,0.08182650894375476,0.13052432767654532,0.1632269127531135,BRbrULdowndown
