mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
0.685,1.143,1.1489999999999998,,,nevtULdown
0.685,7.308,7.463999999999999,,,nevtULupup
0.685,0.603,0.615,,,nevtULdowndown
0.685,2.394,2.457,,,nevtULobs
0.685,0.00013476812552550062,0.0027791230090945984,,,BRbrUL
0.685,0.00026953625105100124,0.0055955269366038795,,,BRbrULup
0.685,6.36265871440096e-05,0.0012980537957112573,,,BRbrULdown
0.685,0.00040680936032232905,0.00843226591052117,,,BRbrULupup
0.685,3.35667821940838e-05,0.0006947807522736496,,,BRbrULdowndown
0.685,0.00013326513527800433,0.0027757338346932627,,,BRbrULobs
0.685,-37.2873,-34.8795,,,Significance
0.685,0.0,0.0,0.0,0.0,posSignificance
0.69,6.260209066474726,130.73790720631789,,,xsecBRbrUL
0.69,2.376,2.4450000000000003,,,nevtUL
0.69,4.761,4.923,,,nevtULup
0.69,1.116,1.143,,,nevtULdown
0.69,7.182,7.419,,,nevtULupup
0.69,0.63,0.6120000000000001,,,nevtULdowndown
0.69,2.385,2.4480000000000004,,,nevtULobs
0.69,0.00012878253278547164,0.002689488265059296,,,BRbrUL
0.69,0.00025805287819513065,0.0054152763717328885,,,BRbrULup
0.69,6.048876539923668e-05,0.0012572945140952045,,,BRbrULdown
0.69,0.00038927447410153933,0.008160864392014279,,,BRbrULupup
0.69,3.414688369311748e-05,0.0006731970626651487,,,BRbrULdowndown
0.69,0.00012927034540965903,0.0026927882506605954,,,BRbrULobs
0.69,-37.2848,-34.6055,,,Significance
0.69,0.0,0.0,0.0,0.0,posSignificance
0.695,5.98416643669816,126.76044751563015,,,xsecBRbrUL
0.695,2.331,2.4330000000000003,,,nevtUL
0.695,4.671,4.893,,,nevtULup
0.695,1.125,1.1340000000000001,,,nevtULdown
0.695,7.047000000000001,7.374,,,nevtULupup
0.695,0.621,0.609,,,nevtULdowndown
0.695,2.376,2.439,,,nevtULobs
0.695,0.00012310389351929022,0.002607665545150145,,,BRbrUL
0.695,0.00024668309164676297,0.005244269425573226,,,BRbrULup
0.695,5.941307602282346e-05,0.0012154100814633227,,,BRbrULdown
0.695,0.0003721635082069661,0.007903380900097479,,,BRbrULupup
0.695,3.279601796459855e-05,0.0006527202289340067,,,BRbrULdowndown
0.695,0.00012548041656020313,0.002614096286321909,,,BRbrULobs
0.695,-37.2823,-34.372,,,Significance
0.695,0.0,0.0,0.0,0.0,posSignificance
0.88,2.715128553452105,56.78677196446199,,,xsecBRbrUL
0.88,2.061,2.124,,,nevtUL
0.88,4.104,4.275,,,nevtULup
0.88,1.044,1.0500000000000005,,,nevtULdown
0.88,6.246,6.441000000000002,,,nevtULupup
0.88,0.5489999999999999,0.5820000000000001,,,nevtULdowndown
