,mass,eps,ctau,BRbrUL,BRbrULobs,BRbrULup,BRbrULupup,BRbrULdown,BRbrULdowndown
0,0.61,1.9651823266647046e-05,0.1,0.0049624476550589,0.0062407741710021,0.009986713229478,0.0150501112482628,0.0024834923750289,0.0013571585415492
1,0.61,1.3895937494525697e-05,0.2,0.0020472116219267,0.0022146096862797,0.0038590494949244,0.0062070694032692,0.0011015872621942,0.0006397337791404
2,0.61,8.788562541206955e-06,0.5,0.0009201290459648,0.0009010625006437,0.0016168430432263,0.0027884261751313,0.0005381252026498,0.0003449923141623
3,0.61,6.947968747262848e-06,0.8,0.0007577629740417,0.0007296646412785,0.0013317717719179,0.0022969272020687,0.0004511343426975,0.0002961475072181
4,0.61,6.214452169769514e-06,1.0,0.0007392113916804,0.0007109419294828,0.0013109086974459,0.0022405301031022,0.0004420315907267,0.0002915726348979
5,0.61,4.3942812706034776e-06,2.0,0.0008753815692444,0.0008266085006251,0.0015312843297021,0.0026172768770751,0.0005301695900561,0.0003556633510352
6,0.61,2.7791874989051396e-06,5.0,0.0015744779866418,0.0014919181713641,0.0027669221110785,0.0047719183797468,0.0009546952224221,0.0006519109942217
7,0.61,2.1971406353017388e-06,8.0,0.0023454776073842,0.0022188868865822,0.0041215927438713,0.0071086013639185,0.0014220752000382,0.0009710218140028
8,0.61,1.9651823266647043e-06,10.0,0.0029192764850502,0.0027625901142226,0.0051302150448384,0.0088477255526991,0.0017701227561465,0.0012087234320984
9,0.61,1.3895937494525698e-06,20.0,0.0068549175358629,0.0064878151529778,0.0126471333361846,0.0207802410044259,0.0040339147121241,0.0027044846677944
10,0.61,8.788562541206954e-07,50.0,0.0168151310305995,0.015925288520329,0.0311580992171778,0.0509745346227624,0.0098954570549394,0.0066338354637567
11,0.61,6.947968747262849e-07,80.0,0.026798158059757,0.0253504849373996,0.0496557282733957,0.0812398504615431,0.0157704540325459,0.0105712548524379
12,0.61,6.214452169769513e-07,100.0,0.0338233603000533,0.031902918486025,0.0626771562567878,0.1025381160844531,0.0199052109425954,0.0133453860094144
13,0.61,4.394281270603477e-07,200.0,0.1053324649389484,0.1208945434372201,0.2119796571993026,0.3194586157242196,0.0544337357816701,0.0337401960544425
14,0.61,2.7791874989051396e-07,500.0,0.2614064085628594,0.3005599380119995,0.5260756112464806,0.7928090306187471,0.1350896647448006,0.0837339511603632
15,0.61,2.1971406353017385e-07,800.0,0.4186250437790595,0.4796905561533954,0.8424759372269914,1.2696427251348676,0.2163554817224516,0.1340947719601511
16,0.61,1.9651823266647047e-07,1000.0,0.5220584405286951,0.5988404974621658,1.0506339276820749,1.58334459670391,0.2698123465529457,0.1672267547603164
17,0.61,1.3895937494525698e-07,2000.0,0.3146686402039451,0.3025299235907822,0.6332547753148655,0.9543790057176292,0.1669073534309896,0.1045033148424113
18,0.61,8.788562541206954e-08,5000.0,0.7734071197833835,0.74191270614272,1.5565150505193766,2.3457358210337262,0.410224704256238,0.2568721585122475
19,0.61,6.947968747262849e-08,8000.0,1.2132848245515575,1.1655160911753304,2.4417408348105867,3.6796275821310167,0.6435452964290875,0.4028564853402858
20,0.61,6.214452169769514e-08,10000.0,1.4955602486834498,1.4392609252847923,3.0096367192846807,4.535473492995854,0.7971984193249909,0.5024401839311305
21,0.615,1.9651823266647046e-05,0.1,0.0047266355975733,0.0054886041310222,0.009512453217162,0.0143357880114213,0.0023783775097459,0.0013109874698244
22,0.615,1.3895937494525697e-05,0.2,0.0020061862805991,0.0021151694614919,0.0038132169950187,0.0060824558300467,0.001068930924921,0.0006112015651713
23,0.615,8.788562541206955e-06,0.5,0.0008885852408568,0.0008836958962301,0.0015614015775343,0.0026929659883193,0.0005197585918409,0.0003331131752207
24,0.615,6.947968747262848e-06,0.8,0.0007284236908878,0.0007146518642713,0.0012915854623771,0.0022075178695057,0.0004354015953387,0.0002845471253235
25,0.615,6.214452169769514e-06,1.0,0.0007115188099932,0.0006973017622755,0.0012617629849395,0.0021567705670384,0.0004254007246759,0.0002807866924231
26,0.615,4.3942812706034776e-06,2.0,0.0008336370806233,0.0007923171529658,0.0014648969973183,0.0025096577958998,0.0005048872912313,0.0003387027646671
27,0.615,2.7791874989051396e-06,5.0,0.0015004476580206,0.0014097082436288,0.0026247628150756,0.0045475477065436,0.0009057240933463,0.0006153208550576
28,0.615,2.1971406353017388e-06,8.0,0.0022246301035449,0.0020974842187776,0.0039093835566921,0.0067421149317295,0.0013532156250178,0.0009122928671995
29,0.615,1.9651823266647043e-06,10.0,0.0027692336039432,0.0025947584657303,0.0048663765867232,0.0083930456526124,0.0016717953085567,0.0011356369942851
30,0.615,1.3895937494525698e-06,20.0,0.0064332636641833,0.0060551894003367,0.0118703316490248,0.0195031642738079,0.0037860770196137,0.0025384986286842
31,0.615,8.788562541206954e-07,50.0,0.0157863667669995,0.0148116402504624,0.0292514942674199,0.0478553540996335,0.0092898064519707,0.0062282276421512
32,0.615,6.947968747262849e-07,80.0,0.025160613287439,0.0235747633117493,0.0466209099649354,0.0762747648501619,0.0148063986403389,0.009925675899624
33,0.615,6.214452169769513e-07,100.0,0.031636370900747,0.029629287570304,0.0586215582622058,0.0959046516428595,0.0186175385165177,0.0124810492909048
34,0.615,4.394281270603477e-07,200.0,0.0978631876492208,0.1069963182102668,0.1969534999084632,0.2968107650489691,0.0508489760277691,0.0317326754622767
35,0.615,2.7791874989051396e-07,500.0,0.2429134753398016,0.2659801023737665,0.4888728876744596,0.7367360106309028,0.126216014224364,0.0787660269763659
36,0.615,2.1971406353017385e-07,800.0,0.3871450141060429,0.4245144192032695,0.7791445111475849,1.174178060023814,0.2011576366397386,0.1255338946601687
37,0.615,1.9651823266647047e-07,1000.0,0.4853379794644432,0.5299584226417668,0.9766989304107728,1.471907014973804,0.2521449213045084,0.1573540716995368
38,0.615,1.3895937494525698e-07,2000.0,0.3054348761014123,0.3043781908355365,0.6147266534232715,0.9263431383300575,0.1619898512587667,0.1014417855240809
39,0.615,8.788562541206954e-08,5000.0,0.7516923448421513,0.7471041921778047,1.5128158923832378,2.279929528124999,0.3966203080957569,0.2466132057086407
40,0.615,6.947968747262849e-08,8000.0,1.1770142055956774,1.172091107864392,2.3686007804759592,3.569442779091057,0.6242487923269696,0.3906970359547974
41,0.615,6.214452169769514e-08,10000.0,1.4567095495509297,1.44828926313734,2.9314625699881214,4.417763411792522,0.7725011335438536,0.4835650197518362
42,0.62,1.9651823266647046e-05,0.1,0.0047792388249325,0.0059713942411169,0.0096181359785799,0.0144949515614953,0.0024176790501245,0.001344334712313
43,0.62,1.3895937494525697e-05,0.2,0.002047120304917,0.0022743221505464,0.0038915155156349,0.0062070162009406,0.0010962705022955,0.000631788148683
44,0.62,8.788562541206955e-06,0.5,0.0008712245648364,0.0009352396430776,0.001544828388135,0.0026405187273202,0.0005160441307244,0.0003301939035727
45,0.62,6.947968747262848e-06,0.8,0.0006969242098336,0.0007420933136967,0.0012358596819541,0.0021122227975455,0.0004166282639431,0.0002749334038793
46,0.62,6.214452169769514e-06,1.0,0.0006761954724147,0.0007157934792793,0.0011991920985992,0.002049575524708,0.0004044189881418,0.0002667996855959
47,0.62,4.3942812706034776e-06,2.0,0.0007697171586781,0.0007941292810206,0.0013526668753384,0.0023329753544649,0.0004682421538462,0.0003155928587167
48,0.62,2.7791874989051396e-06,5.0,0.0013575415397002,0.0013897605255758,0.0023856529990999,0.0041144368985235,0.0008293673779875,0.0005620221974359
49,0.62,2.1971406353017388e-06,8.0,0.0020198512383976,0.0020586310620106,0.0035495915145369,0.0061217114466576,0.0012285778161658,0.0008284030405846
