mass,ctau = 0.1,ctau = 0.2,ctau = 0.5,ctau = 0.8,ctau = 1,ctau = 2,ctau = 5,ctau = 8,ctau = 10,ctau = 20,ctau = 50,ctau = 80,ctau = 100,ctau = 200,ctau = 500,ctau = 800,ctau = 1000,ctau = 2000,ctau = 5000,ctau = 8000,ctau = 10000,what
0.61,241.22805422577432,99.51638998999393,44.72811701468245,36.8353886022498,35.93358319756128,42.55291084806879,76.53647706525285,114.01530832927511,141.90807343183062,333.2223398605752,817.3952899891643,1302.6772219954296,1644.177220537805,5120.284853407741,12707.148504726592,20349.656415630725,25377.626235008243,15296.262868361917,37595.86147765412,58978.62462082841,72700.23058067657,xsecBRbrUL
0.61,78.74954225030564,58.00489992210597,36.918000000000006,30.582000000000004,28.47600000000001,24.87592900949761,24.25787231995041,23.78980978953641,24.257763252992483,29.29688810031292,29.64627231330771,29.76165265037516,30.11151277555516,47.061968711407445,46.99210745494416,47.15552636429527,47.108974528012936,16.895802297027043,16.92620290432103,16.901246288698218,16.867229231945267,nevtUL
0.61,158.48007879835794,109.34081135045236,64.87200000000001,53.74800000000001,50.499,43.51487581798878,42.62977562039269,41.80466575248296,42.62958395065832,54.05194857581794,54.93394565148275,55.14694456532426,55.79883177245269,94.71135039278472,94.57075589321435,94.89971242656698,94.8060276303886,34.00195037050313,34.06471041551757,34.01382955363227,33.943288138169265,nevtULup
0.61,39.41077091589582,31.2119461489315,21.591000000000008,18.207000000000004,17.028000000000002,15.065957005028586,14.708922580350835,14.423884674412491,14.708856446873874,17.240345680165706,17.446394796539273,17.51444162724658,17.720770741904555,24.320695159719246,24.28459224332114,24.371109120283396,24.347050012703463,8.961915123357322,8.977867416776462,8.964686059517355,8.990964084486803,nevtULdown
0.61,238.83161173672696,175.868696567552,111.87900000000003,92.70000000000002,86.31,74.3757877476441,73.52061302807627,72.10142351597958,73.52028246859841,88.81162934771284,89.87173110459364,90.22382080937658,91.28536505740072,142.7323606878163,142.52048128011944,143.01741352562576,142.8762270362939,51.24437880618565,51.33699891186853,51.25778445244264,51.1519821077865,nevtULupup
0.61,21.53687481199788,18.125968726628614,13.842000000000004,11.952000000000002,11.232,10.10697115689791,10.043947134206524,9.848921253347797,10.04390197514455,11.558561319937091,11.695923884406223,11.740285070909936,11.880834954076498,15.07493489259246,15.052556868010516,15.104948087669513,15.09003651473958,5.61119578302108,5.621709658771915,5.611853490586685,5.666621431779505,nevtULdowndown
0.61,99.03542433398437,62.74789173885537,36.15300000000001,29.448000000000004,27.387,23.48993296482952,22.985879015021037,22.50582005562448,22.95577595991819,27.727947646036483,28.077416660180127,28.153887500143245,28.40182433227729,54.01502019268269,54.03059925485682,54.034179281766136,54.03755509195173,16.244026651691964,16.236940002547133,16.235820404063766,16.232274141232928,nevtULobs
0.61,0.0049624476550589,0.0020472116219267,0.0009201290459648,0.0007577629740417,0.0007392113916804,0.0008753815692444,0.0015744779866418,0.0023454776073842,0.0029192764850502,0.0068549175358629,0.0168151310305995,0.026798158059757,0.0338233603000533,0.1053324649389484,0.2614064085628594,0.4186250437790595,0.5220584405286951,0.3146686402039451,0.7734071197833835,1.2132848245515575,1.4955602486834498,BRbrUL
0.61,0.009986713229478,0.0038590494949244,0.0016168430432263,0.0013317717719179,0.0013109086974459,0.0015312843297021,0.0027669221110785,0.0041215927438713,0.0051302150448384,0.0126471333361846,0.0311580992171778,0.0496557282733957,0.0626771562567878,0.2119796571993026,0.5260756112464806,0.8424759372269914,1.0506339276820749,0.6332547753148655,1.5565150505193766,2.4417408348105867,3.0096367192846807,BRbrULup
0.61,0.0024834923750289,0.0011015872621942,0.0005381252026498,0.0004511343426975,0.0004420315907267,0.0005301695900561,0.0009546952224221,0.0014220752000382,0.0017701227561465,0.0040339147121241,0.0098954570549394,0.0157704540325459,0.0199052109425954,0.0544337357816701,0.1350896647448006,0.2163554817224516,0.2698123465529457,0.1669073534309896,0.410224704256238,0.6435452964290875,0.7971984193249909,BRbrULdown
0.61,0.0150501112482628,0.0062070694032692,0.0027884261751313,0.0022969272020687,0.0022405301031022,0.0026172768770751,0.0047719183797468,0.0071086013639185,0.0088477255526991,0.0207802410044259,0.0509745346227624,0.0812398504615431,0.1025381160844531,0.3194586157242196,0.7928090306187471,1.2696427251348676,1.58334459670391,0.9543790057176292,2.3457358210337262,3.6796275821310167,4.535473492995854,BRbrULupup
0.61,0.0013571585415492,0.0006397337791404,0.0003449923141623,0.0002961475072181,0.0002915726348979,0.0003556633510352,0.0006519109942217,0.0009710218140028,0.0012087234320984,0.0027044846677944,0.0066338354637567,0.0105712548524379,0.0133453860094144,0.0337401960544425,0.0837339511603632,0.1340947719601511,0.1672267547603164,0.1045033148424113,0.2568721585122475,0.4028564853402858,0.5024401839311305,BRbrULdowndown
0.61,0.0062407741710021,0.0022146096862797,0.0009010625006437,0.0007296646412785,0.0007109419294828,0.0008266085006251,0.0014919181713641,0.0022188868865822,0.0027625901142226,0.0064878151529778,0.015925288520329,0.0253504849373996,0.031902918486025,0.1208945434372201,0.3005599380119995,0.4796905561533954,0.5988404974621658,0.3025299235907822,0.74191270614272,1.1655160911753304,1.4392609252847923,BRbrULobs
0.61,-0.0107637999999999,0.00679753,0.0934021,-0.0576352,-0.110652,0.130125,-0.186346,-0.183915,-0.1897319999999999,-0.192123,-0.17012,-0.224855,-0.262875,0.213313,0.213745,0.213853,0.213889,0.0485453,0.048566,0.0485709,0.0485728,Significance
0.61,0.00239366,0.0,0.00352407,0.00239014,0.0,0.00243381,0.0,0.0,0.00238787,0.00239399,0.00239405,0.00239376,0.0,0.213303,0.2137349999999999,0.2138429999999999,0.213889,0.0485535,0.048574,0.0485734,0.0485825,posSignificance
0.615,229.7650650429564,97.52211943031908,43.194750567720654,35.40918551064401,34.58742741693666,40.523682035059245,72.93781096974433,108.14082657439296,134.6143839512053,312.7254500005173,767.3863390005838,1223.075024331712,1537.8661349449435,4757.198055859979,11808.19407570049,18819.390137204624,23592.618918352207,14847.403131702922,36540.291067418366,57215.48444394978,70811.67090035537,xsecBRbrUL
0.615,80.5045636487729,60.47090523575088,37.62,30.94200000000001,28.82699999999999,24.87593239506159,24.25787832399075,23.67281959054488,24.140775421868376,28.942956498114853,29.295439208911915,29.41091833357171,29.643867623068928,45.89230583699944,45.82738963901594,45.7626565563934,45.955486169391605,17.136170578859133,17.175879830751448,17.105466587034293,17.131535779032127,nevtUL
0.615,162.0171218340089,114.93881987881744,66.105,54.86400000000002,51.11999999999998,43.712881202175865,42.43478714974636,41.600682963133416,42.42260534865674,53.40407458327535,54.28325495847533,54.49643694893736,54.92948980889015,92.36006378480764,92.2294173926277,92.09913952728704,92.4812730247915,34.488729404086826,34.56725900152929,34.42271241573507,34.47527059744119,nevtULup
0.615,40.50878043411144,32.21994950796073,22.005,18.495000000000005,17.234999999999996,15.065959055475073,14.642926551990952,14.39989025910726,14.573864421453536,17.033385882700678,17.23949305074921,17.307598040255865,17.444979671736213,23.845296841638422,23.811566873563923,23.77793205085332,23.874996258232425,9.088306347480035,9.062620894082484,9.072164811928848,9.08494820585832,nevtULdown
0.615,244.1686765557528,183.33871268901345,114.012,93.77100000000004,87.38099999999996,74.88879647587098,73.52063122508548,71.74445323886462,73.16631934434547,87.74383650636,88.80723712674967,89.15962636890215,89.86444136265763,139.18747930187135,138.9905939678618,138.7942640072433,139.37133571104488,51.97171402164629,52.0955093747563,51.8744666817105,51.9548128010515,nevtULupup
0.615,22.328878972901684,18.42297112927252,14.103,12.087000000000003,11.375999999999998,10.106972532436382,9.94795010170088,9.707926016348145,9.899907902592972,11.420588245058378,11.557989685842474,11.60238981277464,11.694975196028109,14.880831927945549,14.859782494626051,14.838792437466903,14.899478655400175,5.691307301748751,5.635016526365558,5.67797318197692,5.686934255302157,nevtULdowndown
0.615,93.48249330573547,63.75590008781951,37.413,30.35700000000001,28.25099999999999,23.64293574595759,22.790885682334626,22.31982990161625,22.61978957137909,27.24201782331892,27.48659732451975,27.55717559719768,27.76319323273561,50.17522805755014,50.17907619434047,50.17992447634831,50.180488633798674,17.076886127799245,17.07104231398186,17.033919545930754,17.032509560656212,nevtULobs
