mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
0.61,10.082280751178537,31.686932122898003,352.26971052392616,5502.153100868961,xsecBRbrUL
0.61,37.089,25.66467908475677,30.578582102259663,47.8399697900071,nevtUL
0.61,64.44,44.99643735736607,56.66410721686018,96.55812084364194,nevtULup
0.61,22.671,15.677803962237153,17.99622291452261,24.723490881111946,nevtULdown
0.61,112.689,77.97502498784313,92.917498278166,145.3748432636024,nevtULupup
0.61,15.498,10.62586713246154,12.063468093701653,15.323366946974057,nevtULdowndown
0.61,35.586,24.14969802832168,28.850944702465487,55.83918551788168,nevtULobs
0.61,0.00020740867239473068,0.0006518509736107072,0.007246752474741695,0.1131881067515786,BRbrUL
0.61,0.00036036061498332246,0.001142853623984453,0.013428705027250623,0.2284539672110096,BRbrULup
0.61,0.0001267805012769538,0.0003981967490461198,0.004264886203869561,0.05849512734657944,BRbrULdown
0.61,0.0006301781089673436,0.001980468790892987,0.022020318284945845,0.3439530449233628,BRbrULupup
0.61,8.666773449738566e-05,0.00026988382799872883,0.002858895385327229,0.03625468204517971,BRbrULdowndown
0.61,0.00019900361335810853,0.0006133723363607472,0.006837323399170217,0.13211404018568995,BRbrULobs
0.61,-0.421637,-0.2603,-0.262408,0.23270900000000003,Significance
0.61,0.0,0.0,0.000236194,0.23273000000000002,posSignificance
0.615,9.743518321909082,30.10429990923856,333.16464296556273,5192.770812739339,xsecBRbrUL
0.615,37.43999999999999,25.430695122267128,30.227931179412423,46.919908465868026,nevtUL
0.615,65.05199999999999,44.68746426109368,56.13373010743236,94.7063248254571,nevtULup
0.615,22.797,15.48581434719157,17.78942844067226,24.247281232918485,nevtULdown
0.615,113.18399999999998,77.26407371404859,91.85055928826617,142.58536789092673,nevtULupup
0.615,15.650999999999998,10.62887257499026,11.925605712377829,15.029430018678989,nevtULdowndown
0.615,35.55,23.69671591020268,28.212335847742924,52.03828095533067,nevtULobs
0.615,0.00020043978634146564,0.0006192936927309946,0.006853730618270518,0.10682361728465828,BRbrUL
0.615,0.00034826412876829663,0.0010882386276891464,0.012727482488681559,0.21562003269786212,BRbrULup
0.615,0.00012204662951993572,0.00037711384238261103,0.0040334864354993494,0.05520433383843865,BRbrULdown
0.615,0.0006059448925553539,0.001881551145014364,0.020825738511936698,0.3246273334282554,BRbrULupup
0.615,8.378961260764634e-05,0.00025883656403750304,0.0027039524646004748,0.034217843402014336,BRbrULdowndown
0.615,0.00019032143174249743,0.0005770674624138405,0.0063967245679155075,0.11847673174741187,BRbrULobs
0.615,0.239378,0.23279899999999998,0.23940999999999998,0.41926800000000003,Significance
0.615,0.239378,0.2328,0.23940999999999998,0.41926800000000003,posSignificance
0.62,8.83010621138915,26.54383367592583,291.6031962858245,4497.614892403987,xsecBRbrUL
0.62,35.42400000000002,23.37873118551098,27.652278887813967,42.25667300278057,nevtUL
0.62,62.24400000000003,41.1775265305176,51.45921429648947,85.29028787535273,nevtULup
0.62,21.66300000000001,14.342835082500706,16.3442095302851,22.065149102081303,nevtULdown
0.62,107.62200000000004,71.03318324272153,84.02165486554344,128.4075734108255,nevtULupup
0.62,14.940000000000007,9.770887651893913,11.017119031884231,13.701071049978706,nevtULdowndown
0.62,36.612000000000016,23.64572811551361,28.25517595435596,50.22331540610516,nevtULobs
0.62,0.00018164943544094508,0.0005460491964922503,0.005998745055838007,0.09252314598234518,BRbrUL
0.62,0.0003191787336152379,0.0009617696998656008,0.011163300811146202,0.18674744591104564,BRbrULup
0.62,0.00011108490627702105,0.00033500079666745137,0.003545629874092776,0.048312772076489416,BRbrULdown
0.62,0.0005518709220027493,0.0016590982772415634,0.018227231424681013,0.281154947033969,BRbrULupup
0.62,7.6610280191049e-05,0.00022821535133777223,0.002389997894575659,0.02999919555399566,BRbrULdowndown
0.62,0.00018774133723926947,0.0005522853543887998,0.006129534485952274,0.1099665168322803,BRbrULobs
0.62,0.436808,0.383947,0.40182399999999996,0.515696,Significance
0.62,0.436808,0.383941,0.401814,0.515695,posSignificance
0.625,7.9369612741855,22.92129362181533,257.8427247802517,4255.286374774993,xsecBRbrUL
0.625,33.219,21.035767874119877,25.543825791524807,41.57586589980932,nevtUL
0.625,59.175,37.72158374917046,47.83918242708185,83.92010498646252,nevtULup
0.625,20.124000000000002,12.63286059867638,14.895565861990626,21.822396462153613,nevtULdown
0.625,100.944,63.91429471735937,77.61231709202727,126.34506810441836,nevtULupup
0.625,13.5,8.381907507172121,9.877385900832687,13.480913227544962,nevtULdowndown
0.625,32.4,19.820781281276385,24.04707038171141,39.560754896179844,nevtULobs
0.625,0.00016327601277466692,0.00047152774228339286,0.005304238054178436,0.08753806003153612,BRbrUL
0.625,0.00029085336873298153,0.0008455490347221024,0.009933923523495992,0.17669393118259655,BRbrULup
0.625,9.891226349611358e-05,0.00028317217951445624,0.003093100772316828,0.045947094791470015,BRbrULdown
0.625,0.0004961538226173569,0.0014326723544420546,0.016116387934695515,0.2660197669259805,BRbrULupup
0.625,6.635438069953951e-05,0.00018788484197658297,0.0020510633997662736,0.02838408691803512,BRbrULdowndown
0.625,0.00015925051367889485,0.00044429318215436067,0.0049934331235731,0.0832952402083479,BRbrULobs
0.625,-0.00155715,-0.00357732,-0.0038694000000000003,-0.401429,Significance
0.625,0.000241896,0.00014967,0.0,0.0,posSignificance
0.63,6.405408709249492,18.02820288915884,199.403322512111,3196.4906538878936,xsecBRbrUL
0.63,27.945,17.225817427723783,20.62177197614148,32.46878782216261,nevtUL
